id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,IDOC — Re-Entry Services,state-agency,Statewide,"The Indiana Department of Correction Re-Entry Services division coordinates statewide transition planning and connects people in custody or under parole with housing, employment, treatment, and community partners. Staff support pre-release readiness, HIRE employment linkage, and local community corrections navigation. This office provides planning and referrals—not emergency crisis response.","La división de Servicios de Reinserción del Departamento de Corrección de Indiana coordina la planificación estatal de transición y conecta a personas en custodia o bajo libertad condicional con vivienda, empleo, tratamiento y aliados comunitarios. El personal apoya la preparación previa a la liberación y la vinculación laboral HIRE. Esta oficina ofrece planificación y referencias, no respuesta de crisis.","302 West Washington Street, Room E-334",Indianapolis,1-800-457-8283,CBlessinger@idoc.in.gov,https://www.in.gov/idoc/facilities/re-entry/,"Generally serves Indiana residents under IDOC custody, parole, community corrections, or seeking state reentry coordination.","Generalmente sirve a residentes de Indiana bajo custodia del IDOC, libertad condicional, correcciones comunitarias o que buscan coordinación estatal de reinserción.",Call state information line or email Deputy Commissioner office; see in.gov/idoc for HIRE coordinators and parole district contacts. Not a walk-in crisis line.,Llame a la línea estatal de información; consulte in.gov/idoc para coordinadores HIRE y distritos de libertad condicional. No es una línea de crisis.,"Monday–Friday, 8:00 a.m.–4:30 p.m. ET",statewide|reentry|DOC|probation|parole|hotline,Reentry navigation|Partner referrals,Marion,,statewide,
2,Hoosier Initiative for Re-Entry (HIRE),employment,Statewide,"Statewide IDOC employment program helping justice-involved Hoosiers obtain livable-wage jobs through resume development, job coaching, employer partnerships, and pre-release placement coordination. Regional HIRE coordinators serve every Indiana county through facility and parole district offices. HIRE is an employment navigation program—not emergency housing or crisis services.","Programa estatal de empleo del IDOC que ayuda a personas con antecedentes penales a obtener empleos con salario digno mediante desarrollo de currículum, coaching laboral y coordinación de colocación previa a la liberación. Los coordinadores regionales sirven a todos los condados de Indiana. HIRE es un programa de navegación laboral, no de vivienda de emergencia.",302 West Washington Street,Indianapolis,,HIRE@idoc.IN.gov,https://www.in.gov/idoc/hire/,Justice-involved Indiana residents seeking employment after incarceration or under community supervision; contact regional HIRE coordinator for intake.,Residentes de Indiana con antecedentes penales que buscan empleo después de la encarcelación o bajo supervisión comunitaria; contacte al coordinador HIRE regional.,Email HIRE@idoc.IN.gov or use interactive coordinator map at in.gov/idoc/hire; coordinators listed by facility and parole district.,Envíe correo a HIRE@idoc.IN.gov o use el mapa interactivo de coordinadores en in.gov/idoc/hire.,Contact regional HIRE coordinator for hours,statewide|employment|HIRE|reentry|fair-chance,Job readiness training|Employment assistance|Partner referrals|GED and high school equivalency,Marion,,statewide,accepts_criminal_record
3,Indiana 211,state-agency,Statewide,"Indiana 211 is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Free statewide information and referral service connecting Hoosiers to health and human services including housing, food, utilities, employment, and crisis support. Community navigators help callers find local resources by need and ZIP code. Indiana 211 is a referral line operated under FSSA—not a direct-service provider. Users can search by location, service type, or need to find active providers in throughout Indiana. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Indiana 211 es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Indiana. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,,866-211-9966,,https://www.in.gov/fssa/indiana-211/about-us/,Open to all Indiana residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Indiana; sin restricciones de antecedentes indicadas.,Dial 211 or 866-211-9966; text ZIP code to 898-211 Mon–Fri 8 a.m.–5 p.m. ET; search IN211.org anytime.,Marque 211 o 866-211-9966; envíe código postal por texto al 898-211 lun–vie 8 a.m.–5 p.m. ET.,Phone navigators Mon–Fri 7 a.m.–7 p.m. ET; online search 24/7,statewide|hotline|211|referral-only|basic-needs,Partner referrals,,,statewide,
4,988 Suicide & Crisis Lifeline — Indiana,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises. Trained specialists provide immediate support and can connect callers to local mobile crisis teams in Indiana. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis.","Apoyo gratuito y confidencial 24/7 para emergencias de salud mental, pensamientos suicidas o crisis por uso de sustancias. Especialistas capacitados ofrecen apoyo inmediato y conexión a equipos de crisis móviles en Indiana. Disponible para cualquier persona, esencial para personas con antecedentes penales en crisis.",,,988,IN988Questions@fssa.IN.gov,https://988indiana.org,Open to anyone in Indiana experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Indiana en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate physical danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro físico inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis services|Behavioral health services,,,statewide,
5,Indiana Legal Services — Statewide Intake,legal-aid,Statewide,"Indiana Legal Services — Statewide Intake serves justice-involved adults and families rebuilding stability after incarceration in throughout Indiana. Indiana's largest nonprofit civil legal aid provider serving low-income residents in all 92 counties with housing, benefits, family law, consumer issues, and record-related civil matters. Centralized intake connects callers to the appropriate regional office. ILS does not handle criminal defense cases. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indiana Legal Services — Statewide Intake ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en en todo Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","1200 Madison Avenue, Suite 300",Indianapolis,1-844-243-8570,,https://www.indianalegalservices.org,Low-income Indiana residents with non-criminal legal problems; income and household-size limits apply by federal LSC guidelines.,Residentes de Indiana de bajos ingresos con problemas legales no penales; aplican límites de ingresos.,Apply online 24/7 or call intake Mon–Thu 10 a.m.–2 p.m. ET; eight regional offices statewide.,Solicite en línea 24/7 o llame a admisión lun–jue 10 a.m.–2 p.m. ET.,Intake phone Mon–Thu 10:00 a.m.–2:00 p.m. ET; online 24/7,statewide|legal-aid|low-income|expungement|hotline,Civil legal representation|Housing legal aid|Benefits navigation|Partner referrals,Marion,,statewide,
6,Indiana Legal Help,legal-aid,Statewide,"Statewide legal information portal operated by the Indiana Bar Foundation providing plain-language guides, court forms, and tools for housing, benefits, family law, and finding local legal aid. Helps Hoosiers understand rights and connect to free or low-cost civil attorneys. Online resource hub—not a law firm providing direct representation on its own.","Portal estatal de información legal operado por la Fundación del Colegio de Abogados de Indiana con guías en lenguaje sencillo, formularios judiciales y herramientas para vivienda, beneficios y derecho familiar. Ayuda a encontrar asistencia legal civil gratuita o de bajo costo. Es un centro de recursos en línea, no un bufete.",,Indianapolis,(317) 269-2222,,https://indianalegalhelp.org,Open to all Indiana residents seeking legal information; direct representation eligibility varies by local legal aid provider.,Abierto a todos los residentes de Indiana que buscan información legal; la representación directa varía según el proveedor local.,Call 317-269-2222 Mon–Fri 8:30 a.m.–1:00 p.m. ET; housing legal navigators via website chat 10 a.m.–2 p.m. weekdays.,Llame al 317-269-2222 lun–vie 8:30 a.m.–1:00 p.m. ET; navegadores de vivienda por chat en el sitio web.,Phone Mon–Fri 8:30 a.m.–1:00 p.m. ET; website 24/7,statewide|legal-aid|online|housing|hotline,Partner referrals|Probation and parole supervision|Housing legal aid,,,statewide,
7,FSSA Benefits Portal,financial-assistance,Statewide,"Official statewide online portal for applying for and managing Indiana public benefits including Medicaid, SNAP food assistance, TANF cash assistance, and Hoosier Healthwise coverage. Justice-involved individuals can apply for health coverage and food support after release. County Division of Family Resources offices assist with verification.","Portal oficial en línea para solicitar y administrar beneficios públicos de Indiana incluyendo Medicaid, SNAP, TANF y cobertura Hoosier Healthwise. Personas en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación. Las oficinas DFR del condado ayudan con verificación.",,,1-800-403-0864,,https://fssabenefits.in.gov,"Indiana residents meeting income and program requirements for Medicaid, SNAP, TANF, or HIP; criminal record generally not a barrier.","Residentes de Indiana que cumplan requisitos de ingresos para Medicaid, SNAP, TANF o HIP; antecedentes penales generalmente no son barrera.",Create account online at fssabenefits.in.gov; call 800-403-0864 for benefits or portal technical support.,Cree una cuenta en línea; llame al 800-403-0864 para beneficios o soporte técnico del portal.,Online 24/7; DFR phone Mon–Fri 8:00 a.m.–4:30 p.m. local time,statewide|benefits|SNAP|Medicaid|online,Medicaid enrollment|SNAP enrollment|Cash assistance (TANF)|Benefits navigation,,,statewide,accepts_criminal_record
8,Recovery Works — Indiana DMHA,substance-use-treatment,Statewide,"Recovery Works — Indiana DMHA is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Indiana Division of Mental Health and Addiction voucher program funding treatment and recovery housing for justice-involved adults without other payer sources. Criminal justice partners submit referrals through the online intake system; liaisons match participants to certified providers. Referral required—not a walk-in crisis line. Users can search by location, service type, or need to find active providers in throughout Indiana. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Recovery Works — Indiana DMHA es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Indiana. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",402 West Washington Street,Indianapolis,(317) 232-7911,Recovery.Works@fssa.in.gov,https://www.in.gov/fssa/dmha/recovery-works/,"Justice-involved Indiana adults with mental health or substance use needs lacking Medicaid, HIP, or private insurance; criminal justice partner referral required.","Adultos de Indiana con antecedentes penales con necesidades de salud mental o sustancias sin Medicaid, HIP o seguro privado; se requiere referencia de aliado de justicia penal.",Criminal justice partners email RecoveryWorks@paceindy.org for referral forms; participants cannot self-refer directly.,Los aliados de justicia penal envíen correo a RecoveryWorks@paceindy.org para formularios; los participantes no pueden autorreferirse.,DMHA staff Mon–Fri business hours; monthly open office hours first Wednesday noon ET,statewide|substance-use|recovery|vouchers|referral-required,Addiction treatment referrals|Supportive housing|Partner referrals,Marion,,statewide,
9,SAMHSA National Helpline,substance-use-treatment,Statewide,"SAMHSA National Helpline is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Free confidential 24/7 treatment referral and information service for individuals and families facing mental health or substance use disorders. Provides referrals to local treatment facilities and community organizations in Indiana and nationwide. Spanish-language support available. Users can search by location, service type, or need to find active providers in throughout Indiana. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","SAMHSA National Helpline es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Indiana. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,,1-800-662-4357,,https://www.samhsa.gov/find-help/national-helpline,Open to anyone in the United States seeking substance use or mental health treatment information and referrals.,Abierto a cualquier persona en Estados Unidos que busque información y referencias de tratamiento.,TTY: 1-800-487-4889; also use FindTreatment.gov to search Indiana providers online.,TTY: 1-800-487-4889; también use FindTreatment.gov para buscar proveedores en Indiana.,Available 24/7,statewide|hotline|substance-use|treatment-referral|national,Partner referrals|Substance use treatment,,,statewide,
10,FindTreatment.gov — Indiana Provider Search,substance-use-treatment,Statewide,"Official SAMHSA online locator for substance use and mental health treatment facilities serving Indiana. Users search by location, treatment type, and payment options to find licensed providers with current openings. Facility admission requirements vary; justice-involved individuals should confirm criminal-record policies with each provider.","Localizador oficial en línea de SAMHSA para centros de tratamiento de sustancias y salud mental que sirven a Indiana. Los usuarios buscan por ubicación, tipo de tratamiento y opciones de pago. Los requisitos de admisión varían; las personas con antecedentes penales deben confirmar políticas con cada proveedor.",,,1-833-888-1553,FindTreatment@samhsa.hhs.gov,https://findtreatment.gov,Open to anyone seeking treatment; facility admission requirements vary by provider.,Abierto a cualquier persona que busque tratamiento; los requisitos de admisión varían según el proveedor.,Indiana Addiction Hotline 1-800-662-4357 also routes to treatment help; facility data updated weekly.,La línea de adicciones de Indiana 1-800-662-4357 también conecta con ayuda de tratamiento.,Online 24/7; BHSIS support Mon–Fri 8 a.m.–6 p.m. ET,statewide|substance-use|online|treatment-referral,Partner referrals,,,statewide,
